哎哟,āi yō,hey
特长,tè cháng,personal strength
特定,tè dìng,special
特色,tè sè,characteristic
提拔,tí bá,to promote to a higher job
提炼,tí liàn,to extract (ore
提示,tí shì,to prompt
提议,tí yì,proposal
题材,tí cái,subject matter
体谅,tǐ liàng,to empathize
体面,tǐ miàn,dignity
体系,tǐ xì,system
天才,tiān cái,talent
天伦之乐,tiān lún zhī lè,family love and joy
天然气,tiān rán qì,natural gas
天生,tiān shēng,nature
天堂,tiān táng,paradise
天文,tiān wén,astronomy
田径,tián jìng,track and field (athletics)
舔,tiǎn,to lick
挑剔,tiāo ti,picky
条款,tiáo kuǎn,clause (of contract or law)
条理,tiáo lǐ,arrangement
条约,tiáo yuē,treaty
调和,tiáo hé,harmonious
调剂,tiáo jì,to adjust
调节,tiáo jié,to adjust
调解,tiáo jiě,to mediate
调料,tiáo liào,condiment
挑拨,tiǎo bō,to incite disharmony
挑衅,tiǎo xìn,to provoke
跳跃,tiào yuè,to jump
停泊,tíng bó,to anchor
停顿,tíng dùn,to halt
停滞,tíng zhì,stagnation
亭子,tíng zi,pavilion
挺拔,tǐng bá,tall and straight
通货,tōng huò,currency
通俗,tōng sú,common
通用,tōng yòng,common (use)
铜矿,tóng kuàng,Copper
同胞,tóng bāo,born of the same parents
同志,tóng zhì,comrade
童话,tóng huà,children's fairy tales
统筹兼顾,tǒng chóu jiān gù,an overall plan taking into account all factors
统计,tǒng jì,statistics
统统,tǒng tǒng,totally
投机,tóu jī,to speculate (on financial markets)
投票,tóu piào,to vote
投降,tóu xiáng,to surrender
投掷,tóu zhì,to throw sth a long distance
秃,tū,bald
突破,tū pò,to break through
图案,tú àn,design
徒弟,tú dì,apprentice
途径,tú jìng,way
涂抹,tú mǒ,to paint
土壤,tǔ rǎng,soil
团结,tuán jié,a rally
团体,tuán tǐ,group
团圆,tuán yuán,to have a reunion
推测,tuī cè,speculation
推翻,tuī fān,to overthrow
推理,tuī lǐ,reasoning
推论,tuī lùn,to infer
推销,tuī xiāo,to market
吞咽,tūn yàn,to swallow
脱离,tuō lí,to separate oneself from
拖延,tuō yán,to adjourn
托运,tuō yùn,to consign (goods)
妥当,tuǒ dang,appropriate
妥善,tuǒ shàn,appropriate
妥协,tuǒ xié,to compromise
椭圆,tuǒ yuán,oval
唾沫,tuò mo,spittle
挖掘,wā jué,to excavate
娃娃,wá wa,baby
瓦解,wǎ jiě,to collapse
哇,wa,replaces 啊 when following the vowel "u" or "ao"
歪曲,wāi qū,to distort
外表,wài biǎo,external
外行,wài háng,layman
外界,wài jiè,the outside world
外向,wài xiàng,outward-looking
丸,wán,pill
完备,wán bèi,faultless
完毕,wán bì,to finish
玩弄,wán nòng,to play with
玩意儿,wán yì r,erhua variant of 玩意[wán yì]
顽固,wán gù,stubborn
顽强,wán qiáng,tenacious
挽回,wǎn huí,to retrieve
挽救,wǎn jiù,to save
惋惜,wǎn xī,to feel sorry for a person over sth that should have happened
万分,wàn fēn,very much
往常,wǎng cháng,habitually (in the past)
往事,wǎng shì,past events
网络,wǎng luò,network (computing
妄想,wàng xiǎng,to attempt vainly
微不足道,wēi bù zú dào,negligible
微观,wēi guān,micro-
威风,wēi fēng,might
威力,wēi lì,might
威望,wēi wàng,prestige
威信,wēi xìn,prestige
危机,wēi jī,crisis
违背,wéi bèi,to violate
维持,wéi chí,to keep
维生素,wéi shēng sù,vitamin
维修,wéi xiū,maintenance (of equipment)
唯独,wéi dú,only
为难,wéi nán,to feel embarrassed or awkward
为期,wéi qī,(to be done) by (a certain date)
为首,wéi shǒu,head
委员,wěi yuán,committee member
伪造,wěi zào,to forge
胃口,wèi kǒu,appetite
位于,wèi yú,to be located at
未免,wèi miǎn,unavoidable
畏惧,wèi jù,to fear
卫星,wèi xīng,(space) satellite
慰问,wèi wèn,to express sympathy
温带,wēn dài,temperate zone
温和,wēn hé,mild
文凭,wén píng,diploma
文物,wén wù,cultural relic
文献,wén xiàn,document
文雅,wén yǎ,elegant
文艺,wén yì,literature and art
问世,wèn shì,to be published
窝,wō,nest
乌黑,wū hēi,jet-black
污蔑,wū miè,to slander
诬陷,wū xiàn,to entrap
无比,wú bǐ,incomparable
无偿,wú cháng,free
无耻,wú chǐ,without any sense of shame
无从,wú cóng,not to have access
无动于衷,wú dòng yú zhōng,aloof
无非,wú fēi,only
无精打采,wú jīng dǎ cǎi,dispirited and downcast (idiom); listless
无可奉告,wú kě fèng gào,(idiom) "no comment"
无可奈何,wú kě nài hé,have no way out
无赖,wú lài,hoodlum
无理取闹,wú lǐ qǔ nào,to make trouble without reason (idiom); to be deliberately provocative
无能为力,wú néng wéi lì,impotent (idiom)
无穷无尽,wú qióng wú jìn,vast and limitless (idiom); endless span of time
无微不至,wú wēi bù zhì,in every possible way (idiom); meticulous
无忧无虑,wú yōu wú lǜ,carefree and without worries (idiom)
无知,wú zhī,ignorant
舞蹈,wǔ dǎo,dance
武侠,wǔ xiá,martial arts chivalry (Chinese literary
武装,wǔ zhuāng,arms
侮辱,wǔ rǔ,to insult
勿,wù,do not
务必,wù bì,must
务实,wù shí,pragmatic
误差,wù chā,difference
误解,wù jiě,to misunderstand
物美价廉,wù měi jià lián,good quality and cheap
物资,wù zī,goods
溪,xī,variant of 溪
膝盖,xī gài,knee
熄灭,xī miè,to stop burning
吸取,xī qǔ,to absorb
昔日,xī rì,formerly
牺牲,xī shēng,to sacrifice oneself
夕阳,xī yáng,sunset
媳妇,xí fù,daughter-in-law
习俗,xí sú,custom
袭击,xí jī,attack (esp. surprise attack)
喜闻乐见,xǐ wén lè jiàn,a delight to see (idiom); an attractive spectacle
喜悦,xǐ yuè,happy
系列,xì liè,series
细胞,xì bāo,cell (biology)
细菌,xì jūn,bacterium
细致,xì zhì,delicate
霞,xiá,red clouds
狭隘,xiá ài,narrow
狭窄,xiá zhǎi,narrow
峡谷,xiá gǔ,canyon
夏令营,xià lìng yíng,summer camp
下属,xià shǔ,subordinate
先进,xiān jìn,advanced (technology)
先前,xiān qián,before
鲜明,xiān míng,bright
掀起,xiān qǐ,to lift
纤维,xiān wéi,fiber
弦,xián,bow string
嫌,xián,to dislike
嫌疑,xián yí,suspicion
闲话,xián huà,digression
贤惠,xián huì,chaste
衔接,xián jiē,to join together
显著,xiǎn zhù,outstanding
现场,xiàn chǎng,lit. actual location
现成,xiàn chéng,ready-made
现状,xiàn zhuàng,current situation
宪法,xiàn fǎ,constitution (of a country)
陷害,xiàn hài,to entrap
陷入,xiàn rù,to sink into
馅儿,xiàn r,erhua variant of 餡|馅
线索,xiàn suǒ,trail
相差,xiāng chà,to differ
相等,xiāng děng,equal
相辅相成,xiāng fǔ xiāng chéng,to complement one another (idiom)
相应,xiāng yìng,to correspond
镶嵌,xiāng qiàn,to inlay
乡镇,xiāng zhèn,village
想方设法,xiǎng fāng shè fǎ,to think up every possible method (idiom); to devise ways and means
响亮,xiǎng liàng,loud and clear
响应,xiǎng yìng,respond to
巷,xiàng,lane
向导,xiàng dǎo,guide
向来,xiàng lái,always (previously)
向往,xiàng wǎng,to yearn for
消除,xiāo chú,to eliminate
消毒,xiāo dú,to disinfect
消防,xiāo fáng,fire-fighting
消耗,xiāo hào,to use up
消极,xiāo jí,negative
销毁,xiāo huǐ,to destroy (by melting or burning)
小心翼翼,xiǎo xīn yì yì,cautious and solemn (idiom); very carefully
效益,xiào yì,benefit
肖像,xiào xiàng,portrait
携带,xié dài,to carry (on one's person)
协会,xié huì,an association
协商,xié shāng,to consult with
协议,xié yì,agreement
协助,xié zhù,to provide assistance
写作,xiě zuò,writing
屑,xiè,bits
谢绝,xiè jué,to refuse politely
泄露,xiè lù,to leak (information)
泄气,xiè qì,to leak (gas)
新陈代谢,xīn chén dài xiè,metabolism (biology)
新郎,xīn láng,bridegroom
新娘,xīn niáng,bride
新颖,xīn yǐng,lit. new bud
心得,xīn dé,knowledge gained
心灵,xīn líng,bright
心态,xīn tài,attitude (of the heart)
心疼,xīn téng,to love dearly
心血,xīn xuè,heart's blood
心眼儿,xīn yǎn r,one's thoughts
辛勤,xīn qín,hardworking
欣慰,xīn wèi,to be gratified
欣欣向荣,xīn xīn xiàng róng,luxuriant growth (idiom); flourishing
薪水,xīn shuǐ,salary
信赖,xìn lài,to trust
信念,xìn niàn,faith
信仰,xìn yǎng,to believe in (a religion)
信誉,xìn yù,prestige
腥,xīng,fishy (smell)
兴隆,xīng lóng,prosperous
兴旺,xīng wàng,prosperous
行政,xíng zhèng,administrative
形态,xíng tài,shape
刑事,xíng shì,criminal
性感,xìng gǎn,sex appeal
性命,xìng mìng,life
性能,xìng néng,function
性情,xìng qíng,nature
幸好,xìng hǎo,fortunately
兴高采烈,xīng gāo cǎi liè,happy and excited (idiom); in high spirits
兴致勃勃,xìng zhì bó bó,to become exhilarated (idiom); in high spirits
胸怀,xiōng huái,one's bosom (the seat of emotions)
胸膛,xiōng táng,chest
凶恶,xiōng è,variant of 兇惡|凶恶
凶手,xiōng shǒu,murderer
雄厚,xióng hòu,robust
修复,xiū fù,to restore
修建,xiū jiàn,to build
修理,xiū lǐ,to repair
羞耻,xiū chǐ,(a feeling of) shame
休养,xiū yǎng,to recuperate
绣,xiù,to embroider
嗅觉,xiù jué,sense of smell
虚假,xū jiǎ,false
虚荣,xū róng,vanity
虚伪,xū wěi,false
需求,xū qiú,requirement
须知,xū zhī,prerequisites
许可,xǔ kě,to allow
酗酒,xù jiǔ,heavy drinking
畜牧,xù mù,to raise animals
序言,xù yán,preface
宣誓,xuān shì,to swear an oath (of office)
宣扬,xuān yáng,to proclaim
悬挂,xuán guà,to suspend
悬念,xuán niàn,suspense in a movie
悬崖峭壁,xuán yá qiào bì,sheer cliffs and precipitous rock faces (idiom)
旋律,xuán lǜ,melody
旋转,xuán zhuǎn,to rotate
选拔,xuǎn bá,to select the best
选手,xuǎn shǒu,athlete
削弱,xuē ruò,to weaken
学历,xué lì,educational background
学说,xué shuō,theory
学位,xué wèi,academic degree
雪上加霜,xuě shàng jiā shuāng,to add hail to snow (idiom); one disaster on top of another
血压,xuè yā,blood pressure
熏陶,xūn táo,to seep in
循环,xún huán,to cycle
循序渐进,xún xù jiàn jìn,in sequence
巡逻,xún luó,to patrol (police
寻觅,xún mì,to look for
押金,yā jīn,deposit
压迫,yā pò,to oppress
压岁钱,yā suì qián,money given to children as new year present
压缩,yā suō,to compress
压抑,yā yì,to constrain or repress emotions
压榨,yā zhà,to press
压制,yā zhì,to suppress
亚军,yà jūn,second place (in a sports contest)
烟花,yān huā,fireworks
淹没,yān mò,to submerge
延期,yán qī,to delay
延伸,yán shēn,to extend
延续,yán xù,to continue
严寒,yán hán,bitter cold
严禁,yán jìn,strictly prohibit
严峻,yán jùn,grim
严厉,yán lì,severe
严密,yán mì,strict
沿海,yán hǎi,coastal
言论,yán lùn,speech
炎热,yán rè,blistering hot
岩石,yán shí,rock
演变,yǎn biàn,to develop
演讲,yǎn jiǎng,lecture
演习,yǎn xí,maneuver
演绎,yǎn yì,to deduce
演奏,yǎn zòu,to play a musical instrument
掩盖,yǎn gài,to conceal
掩护,yǎn hù,to screen
掩饰,yǎn shì,to conceal a fault
眼光,yǎn guāng,gaze
眼色,yǎn sè,a wink
眼神,yǎn shén,expression or emotion showing in one's eyes
眼下,yǎn xià,now
验收,yàn shōu,to check on receipt
验证,yàn zhèng,to inspect and verify
厌恶,yàn wù,to loathe
氧气,yǎng qì,oxygen
样品,yàng pǐn,sample
摇摆,yáo bǎi,to sway
摇滚,yáo gǔn,to shake and boil
摇晃,yáo huàng,to rock
遥控,yáo kòng,remote control
遥远,yáo yuǎn,distant
谣言,yáo yán,rumor
咬牙切齿,yǎo yá qiè chǐ,gnashing one's teeth (idiom); displaying extreme anger
要不然,yào bù rán,otherwise
要点,yào diǎn,main point
要命,yào mìng,to cause sb's death
要素,yào sù,essential factor
耀眼,yào yǎn,to dazzle
野蛮,yě mán,barbarous
野心,yě xīn,ambition
一流,yī liú,top quality
依次,yī cì,in order
依旧,yī jiù,as before
依据,yī jù,according to
依靠,yī kào,to rely on sth (for support etc)
依赖,yī lài,to depend on
依托,yī tuō,to rely on
衣裳,yī shang,clothes
一度,yī dù,for a time
一贯,yī guàn,consistent
一律,yī lǜ,same
一目了然,yī mù liǎo rán,obvious at a glance (idiom)
一向,yī xiàng,always (previously)
一再,yī zài,repeatedly
遗产,yí chǎn,heritage
遗传,yí chuán,heredity
遗留,yí liú,(leave or be a) legacy
遗失,yí shī,to lose
疑惑,yí huò,to doubt
仪器,yí qì,instrument
仪式,yí shì,ceremony
以便,yǐ biàn,so that
以免,yǐ miǎn,in order to avoid
以往,yǐ wǎng,in the past
以至,yǐ zhì,down to
以致,yǐ zhì,to such an extent as to
亦,yì,also
翼,yì,wing
一帆风顺,yī fān fēng shùn,propitious wind throughout the journey (idiom)
一举两得,yī jǔ liǎng dé,one move
一如既往,yī rú jì wǎng,just as in the past (idiom); as before
一丝不苟,yī sī bù gǒu,not one thread loose (idiom); strictly according to the rules
异常,yì cháng,exceptional
意料,yì liào,to anticipate
意识,yì shí,consciousness
意图,yì tú,intent
意味着,yì wèi zhe,to signify
意向,yì xiàng,intention
意志,yì zhì,will
毅力,yì lì,perseverance
毅然,yì rán,firmly
抑制,yì zhì,to inhibit
阴谋,yīn móu,plot
音响,yīn xiǎng,speakers or speaker (electronic)
隐蔽,yǐn bì,to conceal
隐患,yǐn huàn,a danger concealed within sth
隐瞒,yǐn mán,to conceal
隐私,yǐn sī,secrets
隐约,yǐn yuē,vague
引导,yǐn dǎo,to guide
引擎,yǐn qíng,engine (loanword)
引用,yǐn yòng,to quote
饮食,yǐn shí,food and drink
印刷,yìn shuā,print
婴儿,yīng ér,infant
英明,yīng míng,wise
英勇,yīng yǒng,bravery
迎面,yíng miàn,directly
盈利,yíng lì,profit
荧屏,yíng píng,fluorescent screen
应酬,yìng chou,social niceties
应邀,yìng yāo,at sb's invitation
拥护,yōng hù,to endorse
拥有,yōng yǒu,to have
庸俗,yōng sú,filthy
勇于,yǒng yú,to dare to
永恒,yǒng héng,eternal
涌现,yǒng xiàn,to emerge in large numbers
踊跃,yǒng yuè,to leap
用功,yòng gōng,diligent
用户,yòng hù,user
优胜劣汰,yōu shèng liè tài,survival of the fittest (idiom)
优先,yōu xiān,priority
优异,yōu yì,exceptional
优越,yōu yuè,superior
忧郁,yōu yù,sullen
油腻,yóu nì,grease
油漆,yóu qī,oil paints
犹如,yóu rú,similar to
有条不紊,yǒu tiáo bù wěn,regular and thorough (idiom); methodically arranged
幼稚,yòu zhì,young
诱惑,yòu huò,to entice
愚蠢,yú chǔn,silly
愚昧,yú mèi,ignorant
舆论,yú lùn,public opinion
渔民,yú mín,fisherman
与日俱增,yǔ rì jù zēng,to increase steadily
羽绒服,yǔ róng fú,down-filled garment
予以,yǔ yǐ,to give
愈,yù,to heal
预料,yù liào,to forecast
预期,yù qī,to expect
预赛,yù sài,preliminary competition
预算,yù suàn,budget
预先,yù xiān,beforehand
预言,yù yán,to predict
预兆,yù zhào,omen
欲望,yù wàng,desire
寓言,yù yán,fable
冤枉,yuān wang,hatred
元首,yuán shǒu,head of state
元素,yuán sù,element
元宵节,Yuán xiāo jié,Lantern Festival
圆满,yuán mǎn,satisfactory
原告,yuán gào,complainant
原理,yuán lǐ,principle
原始,yuán shǐ,first
原先,yuán xiān,former
园林,yuán lín,gardens
源泉,yuán quán,fountainhead
约束,yuē shù,to restrict
岳父,yuè fù,wife's father
乐谱,yuè pǔ,a musical score
熨,yùn,an iron
蕴藏,yùn cáng,to hold in store
运算,yùn suàn,(mathematical) operation
运行,yùn xíng,to be in motion
酝酿,yùn niàng,(of alcohol) to ferment
孕育,yùn yù,to be pregnant
砸,zá,smash
杂技,zá jì,acrobatics
杂交,zá jiāo,a hybrid
咋,zǎ,dialectal equivalent of 怎麼|怎么[zěn me]
灾难,zāi nàn,disaster
栽培,zāi péi,to grow
宰,zǎi,to slaughter livestock
在乎,zài hu,determined by
在意,zài yì,to care about
再接再厉,zài jiē zài lì,to continue the struggle (idiom); to persist
攒,zǎn,to collect
赞叹,zàn tàn,to sigh or gasp in admiration
赞同,zàn tóng,to approve of
赞扬,zàn yáng,to praise
赞助,zàn zhù,to support
暂且,zàn qiě,for now
糟蹋,zāo tà,to waste
遭受,zāo shòu,to suffer
遭殃,zāo yāng,to suffer a calamity
遭遇,zāo yù,to meet with
造反,zào fǎn,to rebel
造型,zào xíng,modeling
噪音,zào yīn,rumble
责怪,zé guài,to blame
贼,zéi,thief
增添,zēng tiān,to add
赠送,zèng sòng,to present as a gift
渣,zhā,slag (in mining or smelting)
扎,zhā,to prick
扎实,zhā shi,strong
眨,zhǎ,to blink
诈骗,zhà piàn,to defraud
摘要,zhāi yào,summary
债券,zhài quàn,bond
沾光,zhān guāng,to bask in the light
瞻仰,zhān yǎng,to revere
斩钉截铁,zhǎn dīng jié tiě,to chop the nail and slice the iron (idiom); resolute and decisive
展示,zhǎn shì,to reveal
展望,zhǎn wàng,outlook
展现,zhǎn xiàn,to come out
崭新,zhǎn xīn,brand new
战斗,zhàn dòu,to fight
战略,zhàn lvè,strategy
战术,zhàn shù,tactics
战役,zhàn yì,military campaign
占据,zhàn jù,to occupy
占领,zhàn lǐng,to occupy (a territory)
占有,zhàn yǒu,to have
章程,zhāng chéng,rules
长辈,zhǎng bèi,one's elders
障碍,zhàng ài,barrier
帐篷,zhàng peng,tent
招收,zhāo shōu,to hire
招投标,zhāo tóu biāo,bid inviting and bid offering
朝气蓬勃,zhāo qì péng bó,full of youthful energy (idiom); vigorous
着迷,zháo mí,to be fascinated
沼泽,zhǎo zé,marsh
照料,zhào liào,to tend
照样,zhào yàng,as before
照耀,zhào yào,to shine
照应,zhào yìng,to correlate with
遮挡,zhē dǎng,to shelter
折腾,zhē teng,to toss from side to side (e.g. sleeplessly)
折,zhé,variant of 折[zhé]
折磨,zhé mó,to persecute
真相,zhēn xiàng,the truth about sth
真挚,zhēn zhì,sincere
珍贵,zhēn guì,precious
珍稀,zhēn xī,rare
珍珠,zhēn zhū,pearl
侦探,zhēn tàn,detective
斟酌,zhēn zhuó,to consider
阵地,zhèn dì,position
阵容,zhèn róng,troop arrangement
镇定,zhèn dìng,calm
镇静,zhèn jìng,calm
镇压,zhèn yā,suppression
振奋,zhèn fèn,to stir oneself up
振兴,zhèn xīng,to revive
震惊,zhèn jīng,to shock
争端,zhēng duān,dispute
争夺,zhēng duó,to fight over
争气,zhēng qì,to work hard for sth
争先恐后,zhēng xiān kǒng hòu,striving to be first and fearing to be last (idiom); outdoing one another
争议,zhēng yì,controversy
蒸发,zhēng fā,to evaporate
征服,zhēng fú,to conquer
征收,zhēng shōu,to levy (a fine)
正月,zhēng yuè,first month of the lunar year
挣扎,zhēng zhá,to struggle
整顿,zhěng dùn,to tidy up
正当,zhèng dāng,honest
正负,zhèng fù,positive and negative
正规,zhèng guī,regular
正经,zhèng jīng,decent
正气,zhèng qì,healthy environment
正义,zhèng yì,justice
政权,zhèng quán,regime
证实,zhèng shí,to confirm (sth to be true)
证书,zhèng shū,credentials
郑重,zhèng zhòng,serious
症状,zhèng zhuàng,symptom (of an illness)
枝,zhī,branch
支撑,zhī chēng,to prop up
支出,zhī chū,to spend
支流,zhī liú,tributary (river)
支配,zhī pèi,to control
支援,zhī yuán,to provide assistance
支柱,zhī zhù,mainstay
知觉,zhī jué,perception
知足常乐,zhī zú cháng lè,satisfied with what one has (idiom)
脂肪,zhī fáng,body fat
直播,zhí bō,live broadcast (not recorded)
值班,zhí bān,to work a shift
殖民地,zhí mín dì,colony
职能,zhí néng,function
职位,zhí wèi,post
职务,zhí wù,post
指标,zhǐ biāo,norm
指定,zhǐ dìng,to appoint
指甲,zhǐ jia,fingernail
指令,zhǐ lìng,order
指南针,zhǐ nán zhēn,compass
指示,zhǐ shì,to point out
指望,zhǐ wàng,to hope for sth
指责,zhǐ zé,to criticize
治安,zhì ān,law and order
治理,zhì lǐ,to govern
制裁,zhì cái,to punish
制订,zhì dìng,to work out
制服,zhì fú,to subdue
制约,zhì yuē,to restrict
制止,zhì zhǐ,to curb
致辞,zhì cí,to express in words or writing
致力于,zhì lì yú,Committed to
致使,zhì shǐ,to cause
智力,zhì lì,intelligence
智能,zhì néng,intelligent
智商,zhì shāng,IQ (intelligence quotient)
滞留,zhì liú,to detain
志气,zhì qì,ambition
忠诚,zhōng chéng,devoted
忠实,zhōng shí,faithful
终点,zhōng diǎn,the end
终究,zhōng jiū,in the end
终年,zhōng nián,entire year
终身,zhōng shēn,lifelong
终止,zhōng zhǐ,to stop
中断,zhōng duàn,to cut short
中立,zhōng lì,neutral
中央,zhōng yāng,central
衷心,zhōng xīn,heartfelt
种子,zhǒng zi,seed
种族,zhǒng zú,race
肿瘤,zhǒng liú,tumor
重心,zhòng xīn,center of gravity
众所周知,zhòng suǒ zhōu zhī,see 眾所周知|众所周知[zhòng suǒ zhōu zhī]
州,zhōu,prefecture
舟,zhōu,boat
粥,zhōu,congee
周边,zhōu biān,periphery
周密,zhōu mì,careful
周年,zhōu nián,anniversary
周期,zhōu qī,period
周折,zhōu zhé,complication
周转,zhōu zhuǎn,turnover (in cash or personnel)
皱纹,zhòu wén,wrinkle
昼夜,zhòu yè,day and night
株,zhū,tree trunk
诸位,zhū wèi,(pron) everyone
逐年,zhú nián,year after year
拄,zhǔ,to lean on
主办,zhǔ bàn,to organize
主导,zhǔ dǎo,to lead
主管,zhǔ guǎn,in charge
主流,zhǔ liú,main stream (of a river)
主权,zhǔ quán,sovereignty
主题,zhǔ tí,theme
住宅,zhù zhái,residence
注射,zhù shè,injection
注视,zhù shì,to watch attentively
注释,zhù shì,marginal notes
注重,zhù zhòng,to pay attention to
助理,zhù lǐ,assistant
助手,zhù shǒu,assistant
著作,zhù zuò,to write
驻扎,zhù zhā,to station
铸造,zhù zào,to cast (pour metal into a mold)
拽,zhuài,to pull
专长,zhuān cháng,specialty
专程,zhuān chéng,special-purpose trip
专科,zhuān kē,specialized subject
专利,zhuān lì,patent
专题,zhuān tí,special topic
砖瓦,zhuān wǎ,tiles and bricks
转达,zhuǎn dá,to pass on
转让,zhuǎn ràng,transfer (technology
转移,zhuǎn yí,to shift
转折,zhuǎn zhé,shift in the trend of events
传记,zhuàn jì,biography
装备,zhuāng bèi,equipment
装卸,zhuāng xiè,to load or unload
庄严,zhuāng yán,stately
庄重,zhuāng zhòng,grave
幢,zhuàng,classifier for buildings
壮观,zhuàng guān,spectacular
壮丽,zhuàng lì,magnificence
壮烈,zhuàng liè,brave
追悼,zhuī dào,to mourn
追究,zhuī jiū,to investigate
准则,zhǔn zé,norm
琢磨,zhuó mó,to carve and polish (jade)
着手,zhuó shǒu,to put one's hand to it
着想,zhuó xiǎng,to give thought (to others)
着重,zhuó zhòng,put emphasis on
卓越,zhuó yuè,outstanding
资本,zī běn,capital (economics)
资产,zī chǎn,property
资深,zī shēn,senior (in terms of depth of accumulated experience)
资助,zī zhù,to subsidize
姿态,zī tài,attitude
滋味,zī wèi,taste
滋长,zī zhǎng,to grow (usually of abstract things)
子弹,zǐ dàn,bullet
字母,zì mǔ,letter (of the alphabet)
自卑,zì bēi,feeling inferior
自发,zì fā,spontaneous
自力更生,zì lì gēng shēng,regeneration through one's own effort (idiom)
自满,zì mǎn,complacent
自主,zì zhǔ,independent
踪迹,zōng jì,tracks
宗旨,zōng zhǐ,objective
棕色,zōng sè,brown
总而言之,zǒng ér yán zhī,in short
总和,zǒng hé,sum
纵横,zòng héng,lit. warp and weft in weaving; vertically and horizontal
走廊,zǒu láng,corridor
走漏,zǒu lòu,to leak (of information
走私,zǒu sī,to smuggle
揍,zòu,to beat up
租赁,zū lìn,to rent
足以,zú yǐ,sufficient to...
组,zǔ,to form
阻碍,zǔ ài,to obstruct
阻拦,zǔ lán,to stop
阻挠,zǔ náo,to thwart
祖父,zǔ fù,father's father
钻研,zuān yán,to study meticulously
钻石,zuàn shí,diamond
嘴唇,zuǐ chún,lip
尊严,zūn yán,dignity
遵循,zūn xún,to follow
左右,zuǒ yòu,left and right
做东,zuò dōng,to act as host
做主,zuò zhǔ,make the decision
座右铭,zuò yòu míng,motto
作弊,zuò bì,to practice fraud
作废,zuò fèi,to become invalid
作风,zuò fēng,style
作息,zuò xī,work and rest
